,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment/ Other,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type ( B/D,PM,SC,Process",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,19:38,0:18,4.67,B/D,Mechanical,Tapash,Huge water leakage from spt taper plate gap in bottom,Spt taper plate bolts hole thread were tapped and tightly fitted with new bolts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTC,ccm,m/c under to mech,11:45,12:50,1.08,B/D,Mechanical,,oil leakage from mtc gland,in mtc gland packing was given and mounting bolts were made tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mtc,Mtc,gland tightning ,23:00,0:00,1.00,B/D,Mechanical,Srikanta,mtc gland leakage + m/c automatically getting down,mtc gland made tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader centering prob ,0:00,0:15,0.25,B/D,Mechanical,Srikanta,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mtc,Mtc,Mtc prob ,2:40,6:00,3.33,B/D,Mechanical,Srikanta,casting time variation + m/c automatically getting down, mtc gland made tight + Sleeve changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC motor ,DC motor ,DC motor chain pulley not getting down ,3:10,4:00,0.83,B/D,Mech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough roller change ,0:45,0:55,0.17,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabola ,Diabola ,Diabola wheel prob,2:20,3:05,0.75,B/D,Mechanical,,Diabola trolley got derailed due to metal formation,diabola trolley put onto its track after cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ring ,Ring ,O ring change ,4:00,4:10,0.17,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabola ,Diabola ,Diabola hydrulic hose pipe leakage ,5:45,6:00,0.25,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,B side trough shifting area hydrulic oil leakage,16:13,17:00,0.78,B/D,Mechanical,,Oil leakage from b side trough tilting cylinder bottom port hose as hose got damage,Hose replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag gate ,flag gate ,flag gate stopper broken ,22:50,23:20,0.50,B/D,Mechanical,,Skt side flaggate buffer stopper broked,Buffer stopper changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader centering prob ,3:32,3:40,0.13,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut down ,Shut down ,Shut down ,6:00,18:00,12.00,Shut down ,Shut down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut down ,Shut down ,Shut down ,12:00,6:00,18.00,Shut down ,Shut down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut down ,Shut down ,Shut down ,6:00,21:00,15.00,Shut down ,Shut down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,A side trough centering check,20:44,21:05,0.35,B/D,Mechanical,,Operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,A side trough tilting prob,17:10,21:15,4.08,B/D,Mechanical,,A side tilting cyl was not moving,Cylinder was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT prob,21:10,23:10,2.00,B/D,Mechanical,Ramesh Kumar,pipe socket moving on ptt was getting hit by gantry lifting arm,gantry lifting arm at bottom was slightly cutted out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,A side trough supporting roller change ,23:07,23:45,0.63,B/D,Mechanical,Ramesh Kumar,A side trough supporting roller,roller changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,A side trough centering check,16:35,17:07,0.53,B/D,Mechanical,,Operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,20:57,21:42,0.75,B/D,Mechanical,,Spt seal got damage as metal got inside resulting in huge water leakage,Spt seal changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabola ,Diabola ,Diabola roller change ,2:50,3:17,0.30,B/D,Mechanical,Ramesh Kumar,Diabola trolley flat wheel pin got bend,Diabola wheel was changed,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,15:30,15:35,0.08,B/D,Mechanical,,No record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader prob ,13:50,14:05,0.25,B/D,Mechanical,,Corering with spring housing got out from its housing hub,coreloader changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core loader,Core loader,Core loader prob ,15:33,16:03,0.50,B/D,Mechanical,,Skt metal fly,coreloader compression increased from 11mm to 15 mm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,17:00,18:12,0.30,B/D,Mechanical,,Water leakage from taper 'o' ring rubber cord,Taper 'o' ring cord of 10mm replaced with that of 12mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTC ,MTC ,M/c not down & MTC open out ,6:35,12:00,5.42,B/D,Mechanical,,mtc rod got detached from eye and boggie strucked in up position,mtc rod attached with eye and rod welded with eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,water leakage from spt side,14:45,15:07,0.37,B/D,Mechanical,,Water leakage from spt seal due to mould vibration,Sleeve was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould change due to mould vibration ,15:25,16:13,0.80,B/D,Mechanical,,Mould vibration,Sleeve was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trough ,trough ,trough shifting cylinder open out ,12:00,15:05,3.08,B/D,Mechanical,,"When trough shifting top cylinder was operating,its bottom cylinder rod was automatically opening out.",trough shifting bottom cylinder eye bracket in closed position fixed by providing I beam as stopper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT de-railed frquently ,18:15,18:30,0.25,B/D,Mechanical,,PTT got derailed ,"PTT was put into its track,track was cleaned from sand and flagagte up speed decreased.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT de-railed frquently ,19:20,19:35,0.25,B/D,Mechanical,,PTT got derailed ,PTT was put into its track and track was cleaned from sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT,PTT,PTT de-railed frquently ,3:22,3:34,0.20,B/D,Mechanical,,PTT got derailed ,PTT was put into its track and track was cleaned from sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag gate ,flag gate ,flag gate prob ,1:28,1:37,0.15,B/D,Mechanical,,Skt side flaggate buffer stopper broked,Flaggate buffer stopper changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve,Mould,Mould change due to mould vibration ,16:55,18:10,1.25,B/D,Mechanical,,Mould vibration in sl no 1,Sleeve was changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flag gate ,flag gate ,flag gate stopper broken ,14:40,15:10,0.50,B/D,Mechanical,,Skt side flaggate buffer stopper broked as pipe slipped from extractor and fell over buffer stopper,flaggate buffer stopper changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extractor,extractor,extractor  prob ,16:30,17:15,0.75,B/D,Mechanical,,Extractor jaw open close cylinder was not fully closing.,Extractor jaw open close cyl limit adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
