,Equipment,Sub equipment (if applicable),Down time issue,Machine/ process stop time,Machine/ process start time,Time taken (Duration),"Type (B/D, PM, SC, Process)",Attended by - department,Attended by - senior PM/ PC/ other,Issue,Temporary action taken
1,Sleeve,Mould,water leakage from spt side,19:38,0:18,4.67,B/D,Mechanical,Tapash,Huge water leakage from spt taper plate gap in bottom,Spt taper plate bolts hole thread were tapped and tightly fitted with new bolts.
2,MTC,ccm,m/c under to mech,11:45,12:50,1.08,B/D,Mechanical,,oil leakage from mtc gland,in mtc gland packing was given and mounting bolts were made tight
3,Mtc,Mtc,gland tightning ,23:00,0:00,1,B/D,Mechanical,Srikanta,mtc gland leakage + m/c automatically getting down,mtc gland made tight
4,Core loader,Core loader,Core loader centering prob ,0:00,0:15,0.25,B/D,Mechanical,Srikanta,No record,
5,Mtc,Mtc,Mtc prob ,2:40,6:00,3.33,B/D,Mechanical,Srikanta,casting time variation + m/c automatically getting down, mtc gland made tight + Sleeve changed
6,DC motor ,DC motor ,DC motor chain pulley not getting down ,3:10,4:00,0.83,B/D,Mech,,,
7,trough ,trough ,B side trough roller change ,0:45,0:55,0.17,B/D,Mechanical,,No record,
8,Diabola ,Diabola ,Diabola wheel prob,2:20,3:05,0.75,B/D,Mechanical,,Diabola trolley got derailed due to metal formation,diabola trolley put onto its track after cleaning
9,Ring ,Ring ,O ring change ,4:00,4:10,0.17,B/D,Mechanical,,No record,
10,Diabola ,Diabola ,Diabola hydrulic hose pipe leakage ,5:45,6:00,0.25,B/D,Mechanical,,No record,
11,trough ,trough ,B side trough shifting area hydrulic oil leakage,16:13,17:00,0.78,B/D,Mechanical,,Oil leakage from b side trough tilting cylinder bottom port hose as hose got damage,Hose replaced
12,flag gate ,flag gate ,flag gate stopper broken ,22:50,23:20,0.5,B/D,Mechanical,,Skt side flaggate buffer stopper broked,Buffer stopper changed
13,Core loader,Core loader,Core loader centering prob ,3:32,3:40,0.13,B/D,Mechanical,,No record,
14,Shut down ,Shut down ,Shut down ,6:00,18:00,12,Shut down ,Shut down ,,,
15,Shut down ,Shut down ,Shut down ,12:00,6:00,18,Shut down ,Shut down ,,,
16,Shut down ,Shut down ,Shut down ,6:00,21:00,15,Shut down ,Shut down ,,,
17,trough ,trough ,A side trough centering check,20:44,21:05,0.35,B/D,Mechanical,,Operation,
18,trough ,trough ,A side trough tilting prob,17:10,21:15,4.08,B/D,Mechanical,,A side tilting cyl was not moving,Cylinder was changed
19,PTT,PTT,PTT prob,21:10,23:10,2,B/D,Mechanical,Ramesh Kumar,pipe socket moving on ptt was getting hit by gantry lifting arm,gantry lifting arm at bottom was slightly cutted out
20,trough ,trough ,A side trough supporting roller change ,23:07,23:45,0.63,B/D,Mechanical,Ramesh Kumar,A side trough supporting roller,roller changed
21,trough ,trough ,A side trough centering check,16:35,17:07,0.53,B/D,Mechanical,,Operation,
